model,threshold,f1,mcc,recall,precision,cost
LogisticRegression,0.6,0.2716049382716049,0.36247914621046606,0.16176470588235295,0.8461538461538461,28520
LogisticRegression,0.61,0.2716049382716049,0.36247914621046606,0.16176470588235295,0.8461538461538461,28520
LogisticRegression,0.62,0.2716049382716049,0.36247914621046606,0.16176470588235295,0.8461538461538461,28520
LogisticRegression,0.63,0.25,0.3426749320322856,0.14705882352941177,0.8333333333333334,29020
LogisticRegression,0.64,0.25,0.3426749320322856,0.14705882352941177,0.8333333333333334,29020
LogisticRegression,0.65,0.25,0.3426749320322856,0.14705882352941177,0.8333333333333334,29020
LogisticRegression,0.66,0.25316455696202533,0.3590906536006491,0.14705882352941177,0.9090909090909091,29010
LogisticRegression,0.67,0.23076923076923078,0.33873754221479596,0.1323529411764706,0.9,29510
LogisticRegression,0.68,0.23076923076923078,0.33873754221479596,0.1323529411764706,0.9,29510
LogisticRegression,0.6900000000000001,0.23076923076923078,0.33873754221479596,0.1323529411764706,0.9,29510
LogisticRegression,0.7000000000000001,0.23076923076923078,0.33873754221479596,0.1323529411764706,0.9,29510
LogisticRegression,0.7100000000000001,0.23076923076923078,0.33873754221479596,0.1323529411764706,0.9,29510
LogisticRegression,0.72,0.2077922077922078,0.3171518693192998,0.11764705882352941,0.8888888888888888,30010
LogisticRegression,0.73,0.18421052631578946,0.29408190333340495,0.10294117647058823,0.875,30510
LogisticRegression,0.74,0.18421052631578946,0.29408190333340495,0.10294117647058823,0.875,30510
LogisticRegression,0.75,0.16,0.2691798599652377,0.08823529411764706,0.8571428571428571,31010
LogisticRegression,0.76,0.16,0.2691798599652377,0.08823529411764706,0.8571428571428571,31010
LogisticRegression,0.77,0.16,0.2691798599652377,0.08823529411764706,0.8571428571428571,31010
LogisticRegression,0.78,0.16,0.2691798599652377,0.08823529411764706,0.8571428571428571,31010
LogisticRegression,0.79,0.13513513513513514,0.24194293821185928,0.07352941176470588,0.8333333333333334,31510
LogisticRegression,0.8,0.1095890410958904,0.2115993357631051,0.058823529411764705,0.8,32010
LogisticRegression,0.81,0.1095890410958904,0.2115993357631051,0.058823529411764705,0.8,32010
LogisticRegression,0.8200000000000001,0.1095890410958904,0.2115993357631051,0.058823529411764705,0.8,32010
LogisticRegression,0.8300000000000001,0.1111111111111111,0.23861559928094625,0.058823529411764705,1.0,32000
LogisticRegression,0.8400000000000001,0.1111111111111111,0.23861559928094625,0.058823529411764705,1.0,32000
LogisticRegression,0.85,0.08450704225352113,0.2065954248360023,0.04411764705882353,1.0,32500
LogisticRegression,0.86,0.08450704225352113,0.2065954248360023,0.04411764705882353,1.0,32500
LogisticRegression,0.87,0.05714285714285714,0.16864223940280543,0.029411764705882353,1.0,33000
LogisticRegression,0.88,0.05714285714285714,0.16864223940280543,0.029411764705882353,1.0,33000
LogisticRegression,0.89,0.05714285714285714,0.16864223940280543,0.029411764705882353,1.0,33000
LogisticRegression,0.9,0.05714285714285714,0.16864223940280543,0.029411764705882353,1.0,33000
LogisticRegression,0.91,0.05714285714285714,0.16864223940280543,0.029411764705882353,1.0,33000
LogisticRegression,0.92,0.05714285714285714,0.16864223940280543,0.029411764705882353,1.0,33000
LogisticRegression,0.93,0.028985507246376812,0.1192182404138094,0.014705882352941176,1.0,33500
LogisticRegression,0.9400000000000001,0.0,0.0,0.0,0.0,34000
LogisticRegression,0.9500000000000001,0.0,0.0,0.0,0.0,34000
LogisticRegression,0.9600000000000001,0.0,0.0,0.0,0.0,34000
LogisticRegression,0.97,0.0,0.0,0.0,0.0,34000
LogisticRegression,0.98,0.0,0.0,0.0,0.0,34000
LogisticRegression,0.99,0.0,0.0,0.0,0.0,34000
LogisticRegression_Balanced,0.01,0.06742687159147248,0.030347999190209543,1.0,0.034889687018984095,18810
LogisticRegression_Balanced,0.02,0.07150368033648791,0.05644237419680852,1.0,0.03707742639040349,17660
LogisticRegression_Balanced,0.03,0.07501378929950359,0.07171719083339292,1.0,0.03896848137535817,16770
LogisticRegression_Balanced,0.04,0.0787037037037037,0.08490559500915071,1.0,0.04096385542168675,15920
LogisticRegression_Balanced,0.05,0.08292682926829269,0.0978918438936635,1.0,0.043256997455470736,15040
LogisticRegression_Balanced,0.060000000000000005,0.08701215611004479,0.10903752574919867,1.0,0.04548494983277592,14270
LogisticRegression_Balanced,0.06999999999999999,0.08782435129740519,0.1054636199767306,0.9705882352941176,0.045993031358885016,14690
LogisticRegression_Balanced,0.08,0.08971704623878538,0.10769877598708091,0.9558823529411765,0.04706734250543085,14660
LogisticRegression_Balanced,0.09,0.09195402298850575,0.11072415202736946,0.9411764705882353,0.04833836858006042,14600
LogisticRegression_Balanced,0.09999999999999999,0.09580838323353294,0.11963373721400325,0.9411764705882353,0.050473186119873815,14040
